protein1	protein2	locs1	locs2	sizes	category
O43187	Q9NWZ3	none	Cytoplasm	1|1	bothSingle
P04062	P16233	Lysosome,Membrane	Secreted	2|1	oneMulti
P61619	P62841	Endoplasmic reticulum,Membrane	Cytoplasm	2|1	oneMulti
Q96G27	Q9NRQ5	none	Membrane	1|1	bothSingle
O75794	Q2VIR3	Cytoplasm	none	1|1	bothSingle
Q9BV94	Q9HBR0	Endoplasmic reticulum	Membrane	1|1	bothSingle
O00170	P41182	Cytoplasm	Nucleus	1|1	bothSingle
O15403	Q9UBS3	Cell membrane,Membrane	Endoplasmic reticulum	2|1	oneMulti
Q99615	Q99759	Cytoplasm,Cytoskeleton,Nucleus	none	3|1	oneMulti
Q1RMZ1	Q9P2K8	none	Cytoplasm	1|1	bothSingle
Q8IX18	Q8NEF9	none	Cytoplasm	1|1	bothSingle
P12830	Q9GZT3	Cell junction,Cell membrane,Endosome,Golgi apparatus,Membrane	Mitochondrion,Nucleus	5|2	bothMulti
P54750	Q01064	none	Cytoplasm	1|1	bothSingle
P09529	Q13705	Secreted	Cell membrane,Membrane	1|2	oneMulti
Q13459	Q9Y4Z2	Cytoplasm,Cytoskeleton	Nucleus	2|1	oneMulti
P43355	Q5JQC4	Cytoplasm,Nucleus	none	2|1	oneMulti
Q17RB8	Q9HBE1	none	Nucleus	1|1	bothSingle
P60331	Q9UKJ5	Keratin	Cell membrane,Cytoplasmic vesicle,Membrane	1|3	oneMulti
P62745	Q8N1F8	Cell membrane,Endosome,Membrane,Nucleus	Cytoplasm	4|1	oneMulti
P32248	P78556	Cell membrane,Membrane	Secreted	2|1	oneMulti
Q14687	Q9NP66	none	Nucleus	1|1	bothSingle
P18146	Q9NX18	Cytoplasm,Nucleus	Mitochondrion	2|1	oneMulti
O00244	P35754	none	Cytoplasm	1|1	bothSingle
O75626	Q8WWV3	Cytoplasm,Nucleus	Membrane,Mitochondrion,Mitochondrion outer membrane	2|3	bothMulti
Q6PIY5	Q8IYE0	none	Cytoplasm,Cytoskeleton	1|2	oneMulti
Q8IY45	Q9BUX1	none	Cytoplasm,Golgi apparatus	1|2	oneMulti
P02747	Q53H80	Secreted	Cytoplasm,Membrane,Nucleus	1|3	oneMulti
P35625	P50052	Extracellular matrix,Secreted	Cell membrane,Membrane	2|2	bothMulti
Q9H3G5	Q9UMR7	none	Cell membrane,Membrane	1|2	oneMulti
P62877	Q96JP0	Cytoplasm,Nucleus	none	2|1	oneMulti
P07910	Q8IWT3	Nucleus,Spliceosome	Cytoplasm	2|1	oneMulti
P32246	P55773	Cell membrane,Membrane	Secreted	2|1	oneMulti
O94844	Q9BYB0	none	Cell projection,Cytoplasm,Synapse	1|3	oneMulti
Q04917	Q9Y3R0	none	Cell membrane,Cell projection,Cytoplasm,Cytoplasmic vesicle,Endoplasmic reticulum,Membrane,Postsynaptic cell membrane,Synapse	1|8	oneMulti
P61077	Q76N89	Cell membrane,Endosome,Membrane	Cytoplasm	3|1	oneMulti
Q86Y33	Q9UJX6	Cytoplasm	none	1|1	bothSingle
O00499	Q15118	Cell membrane,Cytoplasm,Endosome,Membrane,Nucleus	Mitochondrion	5|1	oneMulti
O15143	P60983	Cytoplasm,Cytoskeleton,Nucleus	none	3|1	oneMulti
O00206	Q92752	Cell membrane,Cell projection,Endosome,Membrane	Extracellular matrix,Secreted	4|2	bothMulti
O95478	P32969	Nucleus	Cytoplasm	1|1	bothSingle
P19404	Q8IZP6	Membrane,Mitochondrion,Mitochondrion inner membrane	none	3|1	oneMulti
P36578	Q9UNX3	Cytoplasm	none	1|1	bothSingle
Q32NB8	Q92574	Mitochondrion	Cytoplasm,Lysosome,Membrane	1|3	oneMulti
P52739	Q6NUJ5	Nucleus	none	1|1	bothSingle
Q8N8L6	Q9H4L4	none	Cytoplasm,Nucleus	1|2	oneMulti
O60318	Q3T906	Chromosome,Cytoplasm,Nuclear pore complex,Nucleus	Golgi apparatus,Membrane	4|2	bothMulti
Q8WTP8	Q96DC7	Nucleus	Membrane	1|1	bothSingle
Q96EE4	Q9GZY8	Secreted	Cytoplasmic vesicle,Membrane,Mitochondrion,Mitochondrion outer membrane,Peroxisome,Synapse	1|6	oneMulti
P10147	P51681	Secreted	Cell membrane,Membrane	1|2	oneMulti
P30291	Q13042	Nucleus	Cytoplasm,Cytoskeleton	1|2	oneMulti
P10916	Q7Z406	Cytoplasm	none	1|1	bothSingle
O76015	Q96MT8	Intermediate filament,Keratin	Cytoplasm,Cytoskeleton	2|2	bothMulti
